timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
2020-03-21 06:00:00,6112.34000000,6236.45000000,6026.00000000,6227.72000000,4379.51758000,2020-03-21 06:59:59,26858113.52266426,35794,2120.78521100,13010123.92108747
2020-03-21 07:00:00,6226.83000000,6229.11000000,6084.73000000,6151.16000000,3759.02389200,2020-03-21 07:59:59,23102280.27815515,33358,1854.38004200,11396760.60098500
2020-03-21 08:00:00,6151.17000000,6170.00000000,6031.06000000,6112.51000000,4936.34754100,2020-03-21 08:59:59,30146238.02575007,41692,2339.65157500,14294937.07445116
2020-03-21 09:00:00,6114.20000000,6135.15000000,5900.00000000,5976.40000000,7927.97081300,2020-03-21 09:59:59,47562840.11171345,63874,3495.64339600,20972069.58338811
2020-03-21 10:00:00,5976.17000000,6040.00000000,5938.78000000,5974.53000000,4063.23489000,2020-03-21 10:59:59,24341600.31957678,36405,2059.69234700,12339490.55642365
2020-03-21 11:00:00,5974.53000000,6121.97000000,5860.02000000,6118.72000000,7222.75438900,2020-03-21 11:59:59,43204517.16594711,55228,3465.16466700,20740021.57817362
2020-03-21 12:00:00,6116.58000000,6218.01000000,6089.94000000,6130.30000000,7683.16838000,2020-03-21 12:59:59,47327119.49404659,56805,3774.61408900,23251932.22061897
2020-03-21 13:00:00,6130.30000000,6275.00000000,6129.00000000,6161.20000000,6335.39461200,2020-03-21 13:59:59,39280928.82008581,46916,3204.13937400,19871497.92178367
2020-03-21 14:00:00,6162.66000000,6224.48000000,6114.02000000,6182.80000000,4202.74966500,2020-03-21 14:59:59,25899810.31776107,34579,1975.15365800,12172533.02211891
2020-03-21 15:00:00,6182.75000000,6242.99000000,6145.45000000,6212.08000000,4624.82285400,2020-03-21 15:59:59,28667113.16916143,36310,2404.27938700,14905652.97510124
2020-03-21 16:00:00,6213.48000000,6264.52000000,6113.89000000,6133.75000000,5810.95163400,2020-03-21 16:59:59,35899064.73968472,41004,2851.42926800,17628075.22656846
2020-03-21 17:00:00,6133.51000000,6173.68000000,6043.00000000,6066.77000000,3703.97658600,2020-03-21 17:59:59,22657961.24134611,28604,1887.31749400,11548321.25276472
2020-03-21 18:00:00,6066.82000000,6226.27000000,6050.74000000,6210.51000000,5377.75880600,2020-03-21 18:59:59,33120716.02956343,36710,2768.57409400,17056116.07403109
2020-03-21 19:00:00,6211.44000000,6245.00000000,6188.32000000,6216.27000000,3834.09772500,2020-03-21 19:59:59,23841612.11920417,27986,2052.88554700,12766699.88852211
